"","order","family","genus","species.epithet","stem.length.m","VD.base.um","VD.tip.um","min.length.leaf","max.length.leaf","min.length.petiole","max.length.petiole","min.length.blade","max.length.blade","min.width.blade","max.width.blade","leaf.type","length.leaf.cm","width.leaf.cm","species","long.hoja","long.hoja.mean","long.lam.pet.mean"
"1","Alismatales","Araceae","Anthurium","scandens",1.04,23.69,15.11,NA,NA,2,8.5,3.5,13,1.5,5,"simple",NA,NA,"Anthurium_scandens",5,NA,13.5
"2","Alismatales","Araceae","Dieffenbachia","seguine",0.78,66.17,28.65,NA,NA,1,16,5,15,2.5,9,"simple",NA,NA,"Dieffenbachia_seguine",9,NA,18.5
"3","Apiales","Araliaceae","Aralia","excelsa",14.23,126.92,51.5,NA,NA,NA,NA,NA,NA,40,50,"compound",200,NA,"Aralia_excelsa",50,NA,NA
"4","Apiales","Araliaceae","Dendropanax","arboreus",11.61,77.86,28.67,NA,NA,NA,40,6,26,3,14,"simple",NA,NA,"Dendropanax_arboreus",14,NA,NA
"5","Apiales","Araliaceae","Hedera","helix",10.5,44.53,14.19,4.165,12.17,1.718,8.162,2.447,5.03,3.358,8.512,"simple",7.84,6.0266,"Hedera_helix",8.512,8.1675,8.6785
"6","Apiales","Araliaceae","Polyscias","murrayi",25.33,92.48,30.89,NA,NA,NA,NA,NA,NA,10,32,"compound",130,22,"Polyscias_murrayi",32,NA,NA
"8","Apiales","Pennantiaceae","Pennantia","cunninghamii",7.57,50.11,20.06,10,16,NA,NA,NA,NA,5,8,"simple",NA,NA,"Pennantia_cunninghamii",8,13,NA
"9","Apiales","Pittosporaceae","Billardiera","scandens",3.28,34.51,12.06,1.711,3.934,0.214,0.458,1.539,3.476,0.413,1.456,"simple",2.552,0.8698,"Billardiera_scandens",1.456,2.8225,2.8435
"10","Apiales","Pittosporaceae","Citriobatus","pauciflorus",1.27,36.13,23.66,0.531,1.642,0.102,0.311,0.965,1.412,0.457,0.735,"simple",1.2452,0.5878,"Citriobatus_pauciflorus",0.735,1.0865,1.395
"11","Apiales","Pittosporaceae","Pittosporum","undulatum",11.12,46.96,17.81,7.903,13.991,1.085,2.381,6.818,11.61,2.11,3.592,"simple",11.3062,3.0652,"Pittosporum_undulatum",3.592,10.947,10.947
"12","Aquifoliales","Aquifoliaceae","Ilex","aquifolium",5.73,32.08,10.31,4.147,11.24,0.567,1.285,3.58,10.051,1.141,4.971,"simple",7.8406,2.9074,"Ilex_aquifolium",4.971,7.6935,7.7415
"13","Aquifoliales","Aquifoliaceae","Ilex","sebertii",6.26,55.51,12.13,5.749,10.575,1.002,2.161,4.535,8.414,2.814,5.229,"simple",7.4934,3.5344,"Ilex_sebertii",5.229,8.162,8.056
"14","Aquifoliales","Aquifoliaceae","Ilex","verticillata",5.07,30.76,10.36,NA,NA,0.5,1,2,8,2,4,"simple",NA,NA,"Ilex_verticillata",4,NA,5.75
"15","Aquifoliales","Cardiopteridaceae","Citronella","smythii",5.62,65.93,22.79,11.345,15.94,1.071,1.296,10.116,14.869,3.932,6.516,"simple",14.138,5.4016,"Citronella_smythii",6.516,13.6425,13.676
"16","Aquifoliales","Stemonuraceae","Gomphandra","australiana",14.07,101.53,26.24,NA,NA,0.7,1.5,6,17,5,8,"simple",NA,NA,"Gomphandra_australiana",8,NA,12.6
"17","Arecales","Arecaceae","Astrocaryum","mexicanum",3.54,67.99,54.3,100,160,NA,NA,40,100,80,200,"compound",NA,NA,"Astrocaryum_mexicanum",200,130,NA
"18","Arecales","Arecaceae","Bactris","trichophylla",1.93,74.56,65.01,NA,NA,NA,NA,NA,NA,NA,NA,"compound",150,80,"Bactris_trichophylla",NA,NA,NA
"19","Arecales","Arecaceae","Calamus","radicalis",31.5,272.49,130.37,NA,NA,NA,NA,NA,NA,15,30,"compound",300,NA,"Calamus_radicalis",30,NA,NA
"20","Arecales","Arecaceae","Livistona","australis",6.67,92.8,38.27,NA,NA,140,250,110,130,NA,NA,"simple",NA,NA,"Livistona_australis",NA,NA,315
"21","Arecales","Arecaceae","Reinhardtia","gracilis",1.1,41.39,33.95,12,30,7,60,8.5,25,2.6,13,"compound",NA,NA,"Reinhardtia_gracilis",13,21,50.25
"22","Arecales","Arecaceae","Washingtonia","robusta",11.3,77.23,65.82,NA,NA,81,154,93,113,90,148,"simple",NA,NA,"Washingtonia_robusta",148,NA,220.5
"24","Asparagales","Asparagaceae","Eustrephus","latifolius",4.12,52.93,31.54,NA,NA,0.1,0.3,4,10.5,1.2,3.5,"simple",9.5,NA,"Eustrephus_latifolius",3.5,NA,7.45
